,index,splitted
883,Todd J. Greenwald (creator),1
884,Todd J. Greenwald,1
885,Tom Rogers,1
886,Mark Zaslove,1
887,Ted Henning,1
888,Brian Hohlfeld,1
889,Ernest Shepard (based upon the works of),1
890,A.A. Milne (based upon the works of),1
891,Pete Docter (story by),1
892,Randi Reisfeld (characters),1
893,Ash Brannon (original story by),1
894,Steven Lisberger (story),1
895,Terry Rossio (animation story by),1
896,Ted Elliott (animation story by),1
897,John Musker (animation story by),1
898,Ron Clements (animation story by),1
899,"Robert Louis Stevenson (based on the novel ""Treasure Island"" by)",1
900,Robert Lewis Taylor (book),1
901,Robert Louis Stevenson (story),1
902,Jennifer L. Liu,1
903,Jean Chalopin (screenplay),1
904,Josh Cooley (story editor),1
905,Angus MacLane,1
906,Christian Roman (story),1
907,Erik Benson (story),1
908,Erik Benson,1
909,Jason Katz,1
910,Stephany Folsom (screenplay by),1
911,Stephany Folsom (original story by),1
912,Martin Hynes (original story by),1
913,Will McCormack (original story by),1
914,Rashida Jones (original story by),1
915,Valerie LaPointe (original story by),1
916,Josh Cooley (original story by),1
917,Michael Arndt (screenplay by),1
918,Lee Unkrich (story by),1
919,Andrew Stanton (story by),1
920,Chris Webb (screenplay by),1
921,Doug Chamberlin (screenplay by),1
922,Steven Lisberger (screenplay),1
923,Bonnie MacBird (story),1
924,H.B. Gilmour (characters),1
925,Adam Horowitz,1
926,Randi Reisfeld (book),1
927,H.B. Gilmour (book),1
928,Melissa Gould (teleplay),1
929,Jenny Tripp (teleplay),1
930,Dan Studney (story),1
931,Jim Lincoln (story),1
932,Jack Epps Jr. (screenplay),1
933,Jim Cash (screenplay),1
934,Daniel Petrie Jr. (screenplay),1
935,Michael Blodgett (screenplay),1
936,Dennis Shryack (screenplay),1
937,Michael Blodgett (story),1
938,Dennis Shryack (story),1
939,Jeffrey Lieber (screenplay),1
940,Natalie Babbitt (novel),1
941,Janet Tashjian (novel),1
942,Bonnie MacBird (characters),1
943,Steven Lisberger (characters),1
944,Lee Sternthal (story),1
945,Brian Klugman (story),1
946,Adam Horowitz (story),1
947,Edward Kitsis (story),1
948,Adam Horowitz (screenplay),1
949,Edward Kitsis (screenplay),1
950,Bonnie MacBird,1
951,Steven Lisberger,1
952,Edward Kitsis,1
953,Calvin Brown Jr. (screenplay),1
954,Bruce W. Smith,1
955,Bill Steinkellner (television series Teacher's Pet),1
956,Marc Warren,1
957,Mark Walton (additional story),1
958,Mark Kennedy (additional story),1
959,Doug Frankel (additional story),1
960,Matthew Jacobs (based on an original story by),1
961,Roger Allers (based on an original story by),1
962,John Norton (additional story material by),1
963,Don Hall (additional story material by),1
964,Stephen J. Anderson (additional story material by),1
965,Mark Perez,1
966,Paris Qualles,1
967,C.S. Lewis (book),1
968,Ann Peacock (screenplay),1
969,C.S. Lewis (novel),1
970,Chris Parker (screenplay),1
971,Carol Dysinger,1
972,Jen Small (teleplay by),1
973,Nisha Ganatra (teleplay by),1
974,Dan Berendsen (teleplay by),1
975,Bethesda Brown,1
976,Ted Key,1
977,Hugh Benson (story),1
978,Richard M. Bluel (story),1
979,Don Tait (story & screenplay),1
980,Thomas M. Disch (novel),1
981,Willard Carroll (screenplay),1
982,Saschka Unseld,1
983,Gerry Day (screenplay by),1
984,Dennis Rinsler,1
985,Scott Silver (screenplay),1
986,Richard H. Landau (story by),1
987,Paul Tamasy (screenplay),1
988,John Musker (story adapted by),1
989,Ron Clements (story adapted by),1
990,Steve Hulett (story adapted by),1
991,Vance Gerry (story adapted by),1
992,Peter Young (story adapted by),1
993,Adrian Molina (additional screenplay material by),1
994,Peter Hedges (additional screenplay material by),1
995,Kelsey Mann (story by),1
996,Erik Benson (story by),1
997,Peter Sohn (story by),1
998,Bob Peterson (original concept & development by),1
999,Sy Gomberg,1
1000,Rick Mittleman (adaptation),1
1001,Sy Gomberg (adaptation),1
1002,Audrey Wells (story),1
1003,Kathryn Price (story),1
1004,Nichole Millard (story),1
1005,Kathryn Price (screenplay),1
1006,Nichole Millard (screenplay),1
1007,Roger S.H. Schulman (screenplay by),1
1008,Rich Burns (screenplay by),1
1009,Earl Kress (story),1
1010,Steve Hulett (story),1
1011,Daniel P. Mannix (based on the book by),1
1012,Michael J. Tougias (book),1
1013,Casey Sherman (book),1
1014,Eric Johnson (screenplay),1
1015,Jeb Rosebrook (screenplay by),1
1016,Bob Barbash (story by),1
1017,Matthew O'Callaghan (story adapted by),1
1018,Samuel W. Taylor (story),1
1019,Gordon Gordon (book),1
1020,Mildred Gordon (screenplay),1
1021,Gordon Gordon (screenplay),1
1022,Larry Karaszewski (screenplay),1
1023,Scott Alexander (screenplay),1
1024,Bill Walsh,1
1025,Mildred Gordon,1
1026,Gordon Gordon,1
1027,Mildred Gordon (novel),1
1028,Gordon Gordon (novel),1
1029,Bob Young (teleplay),1
1030,Kathryn McCullough (story and teleplay),1
1031,David Kendall (teleplay),1
1032,Robert Horn (teleplay by),1
1033,Mark Landry (teleplay by),1
1034,Vince Marcello (teleplay by),1
1035,Mark Landry (story by),1
1036,Vince Marcello (story by),1
1037,Mark Landry (based on characters created by),1
1038,Vince Marcello (based on characters created by),1
1039,Robert Horn (story by),1
1040,Cheri Steinkellner,1
1041,Bill Steinkellner,1
1042,Gary Baseman,1
1043,Cheri Steinkellner (screenplay),1
1044,Bill Steinkellner (screenplay),1
1045,Cheri Steinkellner (television series Teacher's Pet),1
1046,Mildred Gordon (book),1
1047,Albert Sidney Fleischman (novel),1
1048,Jeb Rosebrook (story by),1
1049,"Washington Irving (story ""The Legend of Sleepy Hollow"")",1
1050,Doug Lefler (additional story contributions),1
1051,Ron Clements (additional story contributions),1
1052,John Musker (additional story contributions),1
1053,Burny Mattinson (additional story contributions),1
1054,Mel Shaw (additional story contributions),1
1055,Steve Hulett (additional story contributions),1
1056,Tony Marino (additional story contributions),1
1057,Roy Edward Disney (additional dialogue),1
1058,Rosemary Anne Sisson (additional dialogue),1
1059,Joe Hale (story),1
1060,Art Stevens (story),1
1061,Roy Morita (story),1
1062,Al Wilson (story),1
1063,Richard Rich (story),1
1064,David Jonas (story),1
1065,Lloyd Alexander (novel),1
1066,James Street (story),1
1067,Melissa Mathison (screenplay by),1
1068,Jack Speirs (narration),1
1069,Robert Franklin Leslie (novel),1
1070,John Whedon (screenplay),1
1071,Tom Rowe (based on a story by),1
1072,Tom McGowan (based on a story by),1
1073,Jack M. Bickham (book),1
1074,Jack Moffitt,1
1075,Ted Sears,1
1076,"Kenneth Grahame (story ""The Wind in the Willows"")",1
1077,Bruce Morris (story adapted by),1
1078,Burny Mattinson (story adapted by),1
1079,Shonda Rhimes (screenplay),1
1080,Roswell Rogers,1
1081,Xavier Atencio (story),1
1082,Jon Favreau,1
1083,Terri Minsky (characters),1
1084,Susan Estelle Jansen,1
1085,Rich Burns (additional screenplay material),1
1086,Thania St. John (additional screenplay material),1
1087,Peggy Holmes (additional screenplay material),1
1088,Jenny Wingfield (story),1
1089,Jule Selbo (story),1
1090,Robert Reece (screenplay),1
1091,Eddie Guzelian (additional screenplay material),1
1092,Elise D'Haene (additional screenplay material),1
1093,Elizabeth Anderson (screenplay),1
1094,Chris Hubbell (additional dialogue),1
1095,Sam Graham (additional dialogue),1
1096,Gerrit Graham (additional dialogue),1
1097,Howard Ashman (additional dialogue),1
1098,Hans Christian Andersen (fairy tale),1
1099,Ron Clements,1
1100,John Musker,1
1101,Brenda Chapman (story supervisor),1
1102,Noni White (additional story material),1
1103,Kirk Wise (additional story material),1
1104,Christopher Vogler (additional story material),1
1105,Bob Tzudiker (additional story material),1
1106,Miguel Tejada-Flores (additional story material),1
1107,George Scribner (additional story material),1
1108,"Winston Hibler (story supervisor ""Blustery Day"")",1
1109,Charles Dickens (novel),1
1110,Mark Kausler (story),1
1111,Jack Burns,1
1112,Shonda Rhimes (story),1
1113,Gina Wendkos (story),1
1114,Meg Cabot (characters),1
1115,Gina Wendkos (screenplay),1
1116,William Goldman (based upon his book),1
1117,William Goldman (screenplay by),1
1118,"E.D. Baker (story inspired in part by ""The Frog Princess"" by)",1
1119,Jason Oremland (story by),1
1120,Greg Erb (story by),1
1121,Charles Fleischer (additional story material),1
1122,Chris Hubbell (animation screenplay),1
1123,Sam Graham (animation screenplay),1
1124,Gerrit Graham (animation screenplay),1
1125,Jack Whittingham,1
1126,Mark Twain (from the story by),1
1127,Mel Friedman (novel),1
1128,Ellen Weiss (novel),1
1129,Dick Huemer (teleplay),1
1130,Charles Shyer (screenplay),1
1131,Nancy Meyers (screenplay),1
1132,Jeff Schechter (teleplay),1
1133,Mary C. Ryan (book),1
1134,Ahmet Zappa (story),1
1135,Peter Hedges (screenplay),1
1136,Bill Prady,1
1137,Bob Kushell,1
1138,Jason Segel,1
1139,J.T. Allen (additional story material),1
1140,Rick Maki (story),1
1141,David Michener (story adapted by),1
1142,Evan Spiliotopoulos (additional written material),1
1143,Rudyard Kipling (inspired by the Mowgli stories),1
1144,Sheila Burnford (book),1
1145,Jonathan Schroder,1
1146,Monica Austin,1
1147,Cindy Marcus (screenplay by),1
1148,Flip Kobler (screenplay by),1
1149,Jule Selbo (screenplay by),1
1150,Will Finn (additional screenplay material by),1
1151,Christine Blum (story),1
1152,Geefwee Boedoe (story),1
1153,Denis Rich (story),1
1154,Brenda Chapman (story),1
1155,Jonathan Roberts (animation screenplay by),1
1156,Noni White (animation screenplay by),1
1157,Bob Tzudiker (animation screenplay by),1
1158,Tab Murphy (animation screenplay by),1
1159,"Victor Hugo (from the novel ""Notre Dame de Paris"" by)",1
1160,Tab Murphy (animation story by),1
1161,David Berenbaum,1
1162,Mark Frost (screenplay),1
1163,Mark Frost (book),1
1164,Jack Rose,1
1165,Jay Tarses,1
1166,Tom Patchett,1
1167,"Paul Galdone (based on ""Basil Of Baker Street"")",1
1168,"Eve Titus (based on ""Basil Of Baker Street"")",1
1169,Mel Shaw (story adapted by),1
1170,Karl Geurs (screenplay by),1
1171,David Reynolds (additional written material),1
1172,Tom Sito (story),1
1173,Roger S.H. Schulman (additional written material),1
1174,Jorgen Klubien (story),1
1175,Andy Gaskill (story),1
1176,Linda Woolverton (screenplay by),1
1177,Jonathan Roberts (screenplay by),1
1178,Jonathan Cuba (additional written material),1
1179,Robert Schooley (additional written material),1
1180,Mark McCorkle (additional written material),1
1181,Bob Roth (additional written material),1
1182,Bill Motz (additional written material),1
1183,Gregory Poirier (additional written material),1
1184,Linda Voorhees (additional written material),1
1185,Jenny Wingfield (additional written material),1
1186,Bill Steinkellner (additional screenplay material),1
1187,Irene Mecchi (additional screenplay material),1
1188,Roger Allers (additional screenplay material),1
1189,"Linda Woolverton (based on ""The Lion King"" screenplay by)",1
1190,"Jonathan Roberts (based on ""The Lion King"" screenplay by)",1
1191,"Irene Mecchi (based on ""The Lion King"" screenplay by)",1
1192,Jeff Nathanson (screenplay by),1
1193,Steve Purcell,1
1194,Nicholas Sparks (book),1
1195,Jeff Van Wie (screenplay),1
1196,Nicholas Sparks (screenplay),1
1197,Jim Herzfeld (teleplay),1
1198,Jose Rivera (teleplay),1
1199,Rudyard Kipling (book),1
1200,Tom Rogers (additional written material),1
1201,Roger S.H. Schulman (screenplay),1
1202,Dan Abnett,1
1203,Michael Lucker (screenplay),1
1204,Tod Himmel,1
1205,Daron Nefcy,1
1206,John Mathot,1
1207,Eddie Pittman,1
1208,Patrick O'Connor,1
1209,Edward Rivera,1
1210,Mike Singleton,1
1211,Michael Diederich,1
1212,Mike Bell,1
1213,Corinne Marshall,1
1214,Roger S.H. Schulman,1
1215,Michael Curtis,1
1216,Josh Silverstein,1
1217,Ron McGee (teleplay),1
1218,Amy Talkington (teleplay),1
1219,Travis Braun,1
1220,Krista Tucker,1
1221,Jamie Mitchell,1
1222,Diane Whitley,1
1223,Tim Compton,1
1224,Michael Horowitz (story),1
1225,Kyle Stegina,1
1226,Josh Lehrman,1
1227,Nicholas Filippi,1
1228,Steven H. Wilson (story),1
1229,Eric M. Gardner (story),1
1230,Steven H. Wilson (teleplay),1
1231,David Wasson,1
1232,Jordana Arkin,1
1233,Alison Brown,1
1234,Linda Videtti Figueiredo,1
1235,Melanie Finn,1
1236,Mark Linfield (original concept),1
1237,Alastair Fothergill (original concept),1
1238,Chuan Lu,1
1239,Phil Chapman,1
1240,Brian Leith,1
1241,Pamela Ribon (narration consultant),1
1242,Adam Chapman,1
1243,Keith Scholey (original story),1
1244,Owen Newman (original story),1
1245,John Truby (narration written by),1
1246,Keith Scholey (narration written by),1
1247,Larry Clemmons,1
1248,Peter S. Beagle,1
1249,Audrey Wells,1
1250,Mark Dindal,1
1251,Joe Ansolabehere,1
1252,Paul Germain,1
1253,Douglas Wood,1
1254,Eric Weiner,1
1255,Jymn Magon,1
1256,Ali Scher,1
1257,Jonathan Langager,1
1258,Ford Riley,1
1259,Mark Reisman,1
1260,Eric M. Gardner (teleplay),1
1261,Julie Sherman Wolfe (teleplay),1
1262,Louie Schwartzberg (story),1
1263,Adrian Molina (original story by),1
1264,Boyce Bugliari,1
1265,Lynn Siefert (screenplay),1
1266,Michael Ritchie (story),1
1267,Lynn Siefert (story),1
1268,Gail Parent (screenplay),1
1269,Dyan Sheldon (book),1
1270,Ken Daurio,1
1271,Cinco Paul,1
1272,Carrie Lee Wilson,1
1273,Emi Mochizuki,1
1274,Matthew Aldrich (screenplay by),1
1275,Adrian Molina (screenplay by),1
1276,Matthew Aldrich (original story by),1
1277,Matt Braly,1
1278,Jason Katz (original story by),1
1279,Lee Unkrich (original story by),1
1280,Justin Ware,1
1281,Robert Reece (additional screenplay material),1
1282,Colleen Millea Ventimilia (screenplay),1
1283,Margaret Heidenry (screenplay),1
1284,Dan Berendsen (screenplay),1
1285,Jule Selbo (screenplay),1
1286,Eddie Guzelian (interstitials written by),1
1287,Jill E. Blotevogel (screenplay),1
1288,Charles Perrault (from the original classic by),1
1289,Bob North,1
1290,Jamie McLaughlin,1
1291,Matt Dearborn (teleplay),1
1292,Matt Dearborn (story),1
1293,Eric Friedman,1
1294,David Simkins (Original Story),1
1295,Tiffany Paulsen,1
1296,Tamara Lusher (additional story),1
1297,Rhett Reese (additional story material),1
1298,Jonathan Roberts (additional story material),1
1299,Gregory Gunter (creative development),1
1300,Walon Green (based on an earlier screenplay by),1
1301,Robert Nelson Jacobs (screenplay),1
1302,John Harrison (screenplay),1
1303,Robert Nelson Jacobs (story),1
1304,John Harrison (story),1
1305,Jeff Kinney (book),1
1306,Jeff Judah (screenplay),1
1307,Gabe Sachs (screenplay),1
1308,Jeff Filgo (screenplay),1
1309,Jackie Filgo (screenplay),1
1310,David Tillman,1
1311,Tom Jennings,1
1312,John Hench (story),1
1313,Salvador Dalí (story),1
1314,David Attenborough,1
1315,Gregory Poppen,1
1316,Norman Foster,1
1317,"H.T. Kavanagh (suggested by ""Darby O'Gill"" stories)",1
1318,Alan Silberberg,1
1319,Kate Kondell (narration consultant),1
1320,Hugh Lofting (stories),1
1321,Sinclair Lewis (from an original story by),1
1322,Brenda Chapman (original concept),1
1323,"Samuel W. Taylor (short story ""A Situation of Gravity"")",1
1324,Bobby Rubio,1
1325,Phil Joanou (screenplay),1
1326,Michael Burton (screenplay),1
1327,Mark H. Baker (story),1
1328,William Reiss,1
1329,Noah Jones,1
1330,Tim Kelleher,1
1331,Victoria Strouse (screenplay by),1
1332,Robert Lawson (story),1
1333,Munro Leaf (story),1
1334,"Elena Driskill (concept for ""Death & Re-birth of the Forest"")",1
1335,Irene Mecchi,1
1336,William Martin (story development and research),1
1337,David Reynolds,1
1338,Joe Grant (original concept),1
1339,Eric Goldberg (story),1
1340,Arthur Heinemann (story development),1
1341,Campbell Grant (story development),1
1342,Bill Peet (story development),1
1343,Joseph Sabo (story development),1
1344,Erdman Penner (story development),1
1345,Webb Smith (story development),1
1346,Otto Englander (story development),1
1347,John McLeish (story development and research),1
1348,Robert Sterner (story development and research),1
1349,Ralph Eggleston,1
1350,Theodore Thomas,1
1351,Leonard Ripps,1
1352,Tim Burton (original idea),1
1353,Lance Nolley (story),1
1354,Joel Silverman,1
1355,Allison Schroeder (additional screenplay material by),1
1356,Marc Smith (story by),1
1357,Robert Lopez (story by),1
1358,Kristen Anderson-Lopez (story by),1
1359,"Hans Christian Andersen (story inspired by ""The Snow Queen"" by)",1
1360,Shane Morris (story by),1
1361,"Hans Christian Andersen (story inspired by: ""The Snow Queen"" by)",1
1362,Dava Savel (television story),1
1363,James Krieg (television story),1
1364,Wendy Weiner (teleplay),1
1365,Alexa Young (based on a novel by),1
1366,Brian Yorkey (musical book),1
1367,Mary Rodgers (based on a children's book by),1
1368,Bridget Carpenter (screenplay),1
1369,Bridget Carpenter (musical book),1
1370,Leslie Dixon (screenplay),1
1371,Heather Hach (screenplay),1
1372,Mary Rodgers (novel),1
1373,Mary Rodgers (book),1
1374,Mary Rodgers (screenplay),1
1375,Leonard Ripps (screenplay),1
1376,Tim Burton (based on an original idea by),1
1377,John August (screenplay),1
1378,Leo Thiele (story development and research),1
1379,Graham Heid (story development),1
1380,Nat Mauldin (screenplay),1
1381,Jeremy Evans,1
1382,Lewis Friedman,1
1383,Harold Pearl (novel),1
1384,Helen Aberson (novel),1
1385,Ehren Kruger (screenplay by),1
1386,Ronnie Del Carmen,1
1387,Alan Burnett (animation screenplay),1
1388,Matt Youngberg,1
1389,Francisco Angones,1
1390,Max Salomon (script writer),1
1391,Chis Blow (script writer),1
1392,Mike Slee,1
1393,Crispin Sadler,1
1394,Chris Blow,1
1395,Bianca Majolie (story development),1
1396,Jim Jinkins (creator),1
1397,Joe Aaron (original characters),1
1398,Ken Scarborough,1
1399,John Wierick (teleplay),1
1400,John Wierick (story),1
1401,Douglas Penn (story),1
1402,Harry Reeves,1
1403,Carl Barks,1
1404,Carl Barks (story),1
1405,Larry Levin,1
1406,Hugh Lofting (Doctor Dolittle stories),1
1407,Larry Levin (screenplay),1
1408,Ann Slichter,1
1409,Grant Taylor,1
1410,Geoffrey Luck,1
1411,Robert Zakin,1
1412,Albert Heath (story development),1
1413,Norman Wright (story development),1
1414,Sylvia Moberly-Holland (story development),1
1415,Elmer Plummer (story development),1
1416,Lee Blair (story development),1
1417,Dick Huemer (story direction),1
1418,Joe Grant (story direction),1
1419,Ann Lewis Roberts,1
1420,Simon Lythgoe,1
1421,Jenny Daly,1
1422,Chad Cohen,1
1423,Matt Dearborn,1
1424,Alexander Key (based on the book by),1
1425,Robert Malcolm Young (screenplay by),1
1426,Ed Singer,1
1427,Erich Kästner (novel),1
1428,AJ Carothers,1
1429,Craig Gerber,1
1430,Susumu Saji (film Nankyoku Monogatari),1
1431,Tatsuo Nogami (film Nankyoku Monogatari),1
1432,Koreyoshi Kurahara (film Nankyoku Monogatari),1
1433,Toshirô Ishidô (film Nankyoku Monogatari),1
1434,David DiGilio (screenplay),1
1435,Rick Bitzelberger (story),1
1436,Jack Jason (story),1
1437,Dick Kinney,1
1438,Ron Anderson (screenplay by),1
1439,Mark Kennedy (story by),1
1440,Thomas Hart (screenplay),1
1441,David Reynolds (additional screenplay material),1
1442,Tab Murphy (story by),1
1443,Jackie Zabel (story by),1
1444,Bryce Zabel (story by),1
1445,Joss Whedon (story by),1
1446,Gary Trousdale (story by),1
1447,Kirk Wise (story by),1
1448,Marty Isenberg (screenplay),1
1449,Steve Englehart (screenplay),1
1450,Tad Stones (screenplay),1
1451,Kevin Hopps (screenplay),1
1452,Henry Gilroy (screenplay),1
1453,Simcha Jacobovici,1
1454,Lewis Carroll (books),1
1455,Georgeos Díaz-Montexano (story advisor),1
1456,David Andrew Goldstein (screenplay),1
1457,David Benullo (screenplay),1
1458,David N. Titcher (screenplay),1
1459,Tom Jennings (Writer),1
1460,Martin Charnin (lyrics),1
1461,Thomas Meehan (book),1
1462,Irene Mecchi (teleplay),1
1463,Hillary Carlip (additional screenplay material),1
1464,Noreen Stone,1
1465,Robert A. Stemmle (original story),1
1466,Vernon Harris,1
1467,Ted Mathot,1
1468,Kevin Kopelow,1
1469,Heath Seifert,1
1470,James Cameron,1
1471,Joe Ranft (story by),1
1472,Bruce Woodside (story by),1
1473,Brian Pimental (story by),1
1474,Kevin Harkey (story by),1
1475,Burny Mattinson (story by),1
1476,Chris Sanders (story by),1
1477,Linda Woolverton (animation screenplay by),1
1478,Domee Shi,1
1479,Ben Gluck (head of story),1
1480,Roger S.H. Schulman (additional screenplay material),1
1481,Nick Thiel (additional screenplay material),1
1482,Felix Salten (book),1
1483,Alicia Kirk (screenplay),1
1484,Jeanne Rosenberg (story),1
1485,Ralph Wright (story development),1
1486,Chuck Couch (story development),1
1487,Mel Shaw (story development),1
1488,Larry Morey (story adaptation),1
1489,Perce Pearce (story direction),1
1490,Felix Salten (from the story by),1
1491,Anna Alice Chapin (libretto),1
1492,Joe Rinaldi (screenplay),1
1493,Ward Kimball (screenplay),1
1494,Glen MacDonough (operetta),1
1495,Victor Herbert (operetta),1
1496,Gregory K. Pincus,1
1497,Dick Kelsey (story),1
1498,Griff Du Rhone (screenplay),1
1499,Aaron Mendelsohn (teleplay),1
1500,John Doolittle (additional written material),1
1501,Curtis Armstrong (additional written material),1
1502,Brian Pimental (story supervisor),1
1503,Brian Pimental (screenplay),1
1504,Chris Matheson (screenplay),1
1505,Jymn Magon (screenplay),1
1506,Jymn Magon (story),1
1507,Bob Shaw (screenplay by),1
1508,Don McEnery (screenplay by),1
1509,Earl Felton (screenplay),1
1510,Blake Harris (story),1
1511,Aaron Mendelsohn (story),1
1512,Noni White (screenplay),1
1513,Lewis Carroll (adaptation),1
1514,Bob Tzudiker (screenplay),1
1515,Brian Regan (screenplay),1
1516,Kristen Buckley (screenplay),1
1517,Brian Regan (story),1
1518,Kristen Buckley (story),1
1519,Temple Mathews (additional script material),1
1520,Brian Smith (screenplay),1
1521,Jim Kammerud (screenplay),1
1522,Brian Smith (story),1
1523,Garrett K. Schiff (story),1
1524,Dan Root (story),1
1525,Jim Kammerud (story),1
1526,Michael Part,1
1527,Robert L. Levy,1
1528,Madeleine L'Engle (novel),1
1529,Marita Giovanni (teleplay),1
1530,Brian Swenlin,1
1531,Jan Strnad,1
1532,Dev Ross,1
1533,Steve Roberts,1
1534,Kevin Campbell,1
1535,Tad Stones (story),1
1536,Robert Schooley (story),1
1537,Mark McCorkle (story),1
1538,Doug Langdale (story),1
1539,Duane Capizzi (story),1
1540,Robert Schooley (screenplay),1
1541,Mark McCorkle (screenplay by),1
1542,Patrick A. Ventura (story),1
1543,David S. Smith (story),1
1544,Rebecca Rees (story),1
1545,Darrell Rooney (story),1
1546,Daan Jippes (story),1
1547,Terry Rossio (screenplay by),1
1548,Ted Elliott (screenplay by),1
1549,Guy Ritchie (screenplay by),1
1550,John August (screenplay by),1
1551,Madeleine L'Engle (based upon the novel by),1
1552,Jeff Stockwell (screenplay by),1
1553,Jack Speirs,1
1554,Bruce Graham (teleplay),1
1555,Tom Ellery (story by),1
1556,Kelly Asbury (story by),1
1557,Robert Lence (story by),1
1558,Andrew Kurtzman,1
1559,Jorgen Klubien (original story by),1
1560,Michael Innes (book),1
1561,Rosemary Anne Sisson (screenplay),1
1562,Kathy Mackel (based on the book by),1
1563,Kathy Mackel (teleplay),1
1564,Paul Brown (characters),1
1565,Julie Brown (characters),1
1566,Regina Y. Hicks (characters),1
1567,Karin Gist (characters),1
1568,Paul Brown,1
1569,Julie Brown,1
1570,Eliot Wald,1
1571,Michael Walsh,1
1572,Alice Brown,1
1573,Gail Parent,1
1574,Raymond Wong (characters),1
1575,Jacob Speirs (characters),1
1576,Brandon Onstott (characters),1
1577,Stephen King (characters),1
1578,Andrew Stanton (story),1
1579,Marjorie Schwartz Nielsen,1
1580,Ben Gluck (additional screenplay),1
1581,Rich Burns (screenplay),1
1582,Sam Levine (additional story material),1
1583,Jeff Hand (additional story material),1
1584,Chris Williams (additional story),1
1585,John Lasseter (screenplay by),1
1586,Joe Ranft (screenplay by),1
1587,Phil Lorin (screenplay by),1
1588,Jorgen Klubien (screenplay by),1
1589,John Cotter (screenplay),1
1590,Erik Tarloff (screenplay),1
1591,John Cotter (screen story),1
1592,Alan Caillou (book),1
1593,Alec Sokolow (screenplay),1
1594,Joel Cohen (screenplay),1
1595,Sam Harper (screenplay),1
1596,Craig Titley (screen story),1
1597,Ernestine Gilbreth Carey (novel),1
1598,Frank B. Gilbreth Jr. (novel),1
1599,Don Roos,1
1600,George Arthur Bloom,1
1601,Rob Gibbs (story by),1
1602,Kevin O'Brien,1
1603,Peter O'Brien (story),1
1604,Nick Sung (story by),1
1605,Daniel Chong (story),1
1606,Mike Rich (screenplay by),1
1607,Jonathon E. Stewart (original story by),1
1608,Eyal Podell (original story by),1
1609,Ben Queen (original story by),1
1610,Brian Fee (original story by),1
1611,Ben Queen (screenplay by),1
1612,Dan Fogelman (original story by),1
1613,Bradford Lewis (original story by),1
1614,Aurian Redson (additional story),1
1615,Samuel Levine (additional story),1
1616,Don Hall (additional story),1
1617,Blake Snyder,1
1618,Eleanor Grant,1
1619,Aaron Springer,1
1620,Duncan Rouleau (characters),1
1621,Steven T. Seagle (characters),1
1622,Man of Action (Big Hero 6 team and characters created by),1
1623,Jordan Roberts (screenplay by),1
1624,Chris Houghton,1
1625,Shane Houghton,1
1626,Marc Reid Rubel,1
1627,Dori Pierson,1
1628,Joe Camp,1
1629,Mark Monroe,1
1630,Matt Lopez (story),1
1631,Tim Herlihy (screenplay),1
1632,Matt Lopez (screenplay),1
1633,Mary Norton (book),1
1634,Ted Berman (animation story),1
1635,Ralph Wright (animation story),1
1636,Joan Singleton (screenplay),1
1637,Kate DiCamillo (novel),1
1638,Cindy Marcus,1
1639,Flip Kobler,1
1640,Sheree Guitar,1
1641,Chip Hand (story),1
1642,Nancy Greystone,1
1643,Ben Stahl (book),1
1644,Colby Carr,1
1645,Don Dougherty (additional story),1
1646,Joe Brumm,1
1647,Jim Story (additional story),1
1648,Ray Shenusay (additional story),1
1649,Tom LaBaff (additional story),1
1650,Tim Hodge (additional story),1
1651,John Puglisi (story),1
1652,John Norton (story),1
1653,Broose Johnson (story),1
1654,Woody Woodman (story),1
1655,Kevin Deters (story),1
1656,Stevie Wermers (story),1
1657,Stephen J. Anderson (story supervisor),1
1658,David Hoselton (screenplay by),1
1659,Lorne Cameron (screenplay by),1
1660,Jeff Schechter,1
1661,Willard Carroll (screenplay by),1
1662,Willard Carroll (story by),1
1663,Joe Ranft (additional characters),1
1664,Jerry Rees (additional characters),1
1665,Thomas M. Disch (based on characters created by),1
1666,Brenda Chapman (screenplay by),1
1667,Steve Purcell (screenplay by),1
1668,Bill Margol,1
1669,Jerry Kolber,1
1670,Bud Luckey,1
1671,Chris Williams (screenplay by),1
1672,Eldon Dedini (story),1
1673,Mick Garris,1
1674,Jeff Snow (additional story material),1
1675,Jim Starlin (Gamora and Drax created by),1
1676,Drew Pearce (screenplay by),1
1677,Jack Kirby (Marvel comic book),1
1678,Larry Lieber (Marvel comic book),1
1679,Don Heck (Marvel comic book),1
1680,Stan Lee (Marvel comic book),1
1681,Justin Theroux (screenplay),1
1682,Matt Holloway (screenplay),1
1683,Art Marcum (screenplay),1
1684,Hawk Ostby (screenplay),1
1685,Mark Fergus (screenplay),1
1686,Val Mayerik (Howard the Duck created by),1
1687,Steve Gerber (Howard the Duck created by),1
1688,Val Mayerik (character created by: Howard the Duck),1
1689,Ryan Fleck (story by),1
1690,Steve Gerber (character created by: Howard the Duck),1
1691,Steve Gan (character created by: Star-Lord),1
1692,Steve Englehart (character created by: Star-Lord),1
1693,Gamora & Thanos),1
1694,Jim Starlin (characters created by: Drax the Destroyer,1
1695,Keith Giffen (character created by: Rocket Raccoon),1
1696,Bill Mantlo (character created by: Rocket Raccoon),1
1697,Nicole Perlman,1
