,index,splitted
208,Perce Pearce (story development),2
209,Mark Dindal (story by),2
210,Joe Simon (based on the Marvel comics by),2
211,Bruno Bianchi (characters),2
212,Jean Chalopin (characters),2
213,John J. Strauss (screenplay),2
214,Nick Sung (story),2
215,Leo Benvenuti (characters),2
216,Steve Rudnick (characters),2
217,Andy Heyward (characters),2
218,Dean DeBlois,2
219,Meg LeFauve (story by),2
220,Glenn Williamson (story),2
221,Matthew Luhn (story),2
222,Dan Berendsen (story),2
223,Erdman Penner (story adaptation),2
224,Mark Edward Edens,2
225,Paul Bernbaum (characters),2
226,Jared Bush (screenplay by),2
227,Ron Clements (story by),2
228,John Musker (story by),2
229,Chris Williams (story by),2
230,Don Hall (story by),2
231,Brian Pimental (story),2
232,Mike Rich,2
233,Chris Sanders (story),2
234,Alastair Fothergill,2
235,Kevin Lima (story),2
236,James Fujii (story),2
237,Larry Leker (story),2
238,James Algar (script),2
239,Mirith J. Colao,2
240,Johann David Wyss (novel),2
241,Ted Sears (script),2
242,Andrew Adamson (screenplay),2
243,Gary Trousdale (story),2
244,Jules Verne (novel),2
245,Stephen Sommers (screenplay),2
246,Joe Ranft (story),2
247,Terri Minsky,2
248,Tom Rogers (additional screenplay material),2
249,Ted Key (story),2
250,Dick Huemer (story),2
251,Arthur Alsberg,2
252,Don Nelson,2
253,Linda Woolverton (screenplay),2
254,John Walbridge (story),2
255,Tom Oreb (story),2
256,Del Connell (story),2
257,Sue C. Nichols (story),2
258,Roger Allers (story),2
259,Chris Nee,2
260,Michael Lucker,2
261,Irene Mecchi (animation screenplay by),2
262,Don Tait,2
263,Gordon Buford (story),2
264,Jim Henson (based on),2
265,Nicholas Stoller,2
266,Anna McRoberts,2
267,Marilyn Sadler (book),2
268,Floyd Norman (story),2
269,Roger Bollen (book),2
270,James V. Hart (screenplay),2
271,Robert Vince,2
272,Jerry Juhl (screenplay),2
273,Mark Linfield,2
274,John Hughes (screenplay),2
275,Janet Brownell (teleplay),2
276,Barry Johnson (story),2
277,Winston Hibler (script),2
278,Kelly Wightman (story),2
279,Dan Scanlon (screenplay by),2
280,Richard Gitelson,2
281,Bruce Morris (story),2
282,Mark Kennedy (story),2
283,Rita Hsiao (screenplay by),2
284,Jeff Snow (story),2
285,Rich Moore (story by),2
286,Lorna Cook (story),2
287,Phil Johnston (story by),2
288,Jim Reardon (story by),2
289,Phil Johnston (screenplay by),2
290,Kaan Kalyon (story),2
291,Jim Kouf (screenplay),2
292,Dan Berendsen (story by),2
293,Jenny Tripp (additional story material),2
294,Scott Spencer Gorden (screenplay),2
295,Robert Horn,2
296,Jobim Sampson,2
297,Kyle Menke,2
298,Chris Buck (story by),2
299,Carey W. Hayes,2
300,Chad Hayes,2
301,Wayne Abbott,2
302,Christopher Blow,2
303,Dave Filoni,2
304,Karl Geurs,2
305,Jim Bernstein (story),2
306,Joel Kauffmann,2
307,Donald C. Yost,2
308,George Lucas (screenplay by),2
309,Carter Crocker (additional written material),2
310,J.M. Barrie (play),2
311,Joe Orrantia,2
312,Lawrence Kasdan (screenplay by),2
313,Dava Savel (teleplay),2
314,Robert L. Baird (screenplay by),2
315,Alison Taylor,2
316,Bradley Raymond (story),2
317,Webb Smith (story adaptation),2
318,Irene Mecchi (screenplay by),2
319,Otto Englander (story adaptation),2
320,Ted Sears (story adaptation),2
321,Mark Andrews (screenplay by),2
322,Alan Shapiro,2
323,April Kelly,2
324,Michael Jacobs,2
325,A.A. Milne (books),2
326,Joe Simon,2
327,Brian Hohlfeld (screenplay),2
328,Douglas Sloan,2
329,Bryan Moore,2
330,Chris Peterson,2
331,Jeffrey M. Howard (story),2
332,Danielle Vetere (story),2
333,Richard Cray,2
334,Brenda Chapman (story by),2
335,Dana Olsen (story),2
336,Dan Povenmire (creator),2
337,Susan Sherman,2
338,Carter Crocker (screenplay),2
339,Keith Malone,2
340,Jason Cosler,2
341,Leland Chee,2
342,Jake Blais,2
343,Peggy Holmes (screenplay),2
344,Doreen Spicer,2
345,Julius Svendsen (story),2
346,Tab Murphy (screenplay by),2
347,Eric Cleworth (story),2
348,Frank Thomas (story),2
349,Phil Baker,2
350,Drew Vaupen,2
351,David Detiege (story),2
352,Caroline Thompson (screenplay),2
353,Winston Hibler,2
354,David Michel,2
355,Jeff 'Swampy' Marsh (creator),2
356,Martin Olson (story),2
357,Scott D. Peterson (story),2
358,Jim Lincoln (teleplay),2
359,Vernon Stallings (story development),2
360,Dan Studney (teleplay),2
361,O.V. Falck-Ytter (book),1
362,Robert Nixon,1
363,Roberts Gannaway (screenplay),1
364,Chris Thompson,1
365,Al Jean (screenplay),1
366,"Peter Barsocchini (based on characters created for ""High School Musical"" by)",1
367,Holly Huckins,1
368,Gary Parker,1
369,Darren Foster,1
370,Cristina Costantini,1
371,Denis Morella,1
372,Bob Foss (screenplay),1
373,Jeff Plunkett,1
374,Matt Groening (screenplay),1
375,Robert Strange,1
